item_name,item_id
team fortress classic,20
day of defeat,30
deathmatch classic,40
ricochet,60
psychonauts,3830
call of duty 2,2630
joint task force,6400
bioshock,7670
bioshock remastered,409710
portal,400
overlord,11450
audiosurf,12900
unreal gold,13250
crysis warhead,17330
crysis wars,17340
world of goo,22000
left 4 dead,500
company of heroes,4560
mass effect,17460
zeno clash,22200
braid,26800
killing floor,1250
freedom force,8880
droplitz,23120
trine,35700
3d ultra minigolf adventures deluxe,10140
osmos,29180
darkest of days,37700
battlefield 2,24860
left 4 dead 2,550
left 4 dead 2 beta,223530
borderlands,8980
torchlight,41500
zombie driver,31410
mass effect 2,24980
bioshock 2,8850
bioshock 2 remastered,409720
bob came in pieces,46000
shatter,20820
metro 2033,43110
just cause 2,8190
beat hazard,49600
arma 2,33910
dota 2 test,205790
mafia ii,50130
chime,62100
poker night at the inventory,31280
deathspank,18040
flight control hd,62000
super meat boy,40800
gish,9500
and yet it moves,18700
puzzle agent,31270
jolly rover,58200
altitude,41300
gratuitous space battles,41800
dogfighter,42500
plain sight,49900
flotilla,55000
monday night combat,63200
bulletstorm,99810
portal 2,620
magicka,42910
the wonderful end of the world,15500
cogs,26500
the ball,35460
toki tori,38700
rush,38720
terraria,105600
frozen synapse,98200
titan quest,4540
saints row 2,9480
darksiders,50620
homefront,55100
titan quest anniversary edition,475150
defy gravity,96100
bastion,107100
tropico 4,57690
dead island,91310
the binding of isaac,113200
dungeon defenders,65800
rage,9200
greed corp,48950
spacechem,92800
super monday night combat,104700
crusader kings ii,203770
dear esther,203810
the walking dead,207610
toy soldiers,98300
awesomenauts,204300
arx fatalis,1700
dishonored,205100
the political machine,211120
borderlands 2,49520
torchlight ii,200710
hotline miami,219150
bioshock infinite,8870
scribblenauts unlimited,218680
star conflict,212070
planetside 2,218230
war thunder,236390
peggle extreme,3483
tomb raider,203160
prison architect,233450
reus,222730
rogue legacy,241600
rise of the triad,217140
final fantasy vii,39140
risk of rain,248820
spelunky,239350
payday 2,218620
saints row iv,206420
europa universalis iv,236850
the wolf among us,250320
call of juarez gunslinger,204450
long live the queen,251990
enclave,253980
democracy 3,245470
the stanley parable,221910
contagion,238430
ori and the blind forest,261570
out there somewhere,263980
final fantasy viii,39150
broken age,232790
the banner saga,237990
freespace 2,273620
insurgency,222880
particle mace,295690
battleblock theater,238460
transistor,237930
gearcrack arena,301480
dead bits,303390
grim fandango remastered,316790
squishy the suicidal pig,318430
this war of mine,282070
dirty bomb,333930
armikrog,334120
the talos principle,257510
besiege,346010
killing floor 2,232090
fallout 4,377160
undertale,391540
company of heroes 2,231430
endless legend,289130
xcom 2,268500
sins of the demon rpg,461640
doom,379720
evolve stage 2,273350
just cause,6880
quake iii arena,2200
wolfenstein 3d,2270
the ultimate doom,2280
final doom,2290
quake,2310
quake ii,2320
return to castle wolfenstein,9010
doom 3,9050
hexen ii,9060
master levels for doom ii,9160
commander keen complete pack,9180
alpha prime,2590
race 07,8600
gtr evolution,8660
children of the nile,17100
dead space,17470
the path,27000
puzzle kingdoms,23700
itzabitza,40200
itzazoo,40210
coniclysm,39900
avencast,46410
ship simulator extremes,48800
hacker evolution,70100
hacker evolution duality,70120
blade kitten,9940
protogalaxy,60600
the fish fillets 2,33950
grand theft auto iv,12210
chaser,39670
universe sandbox,72200
post apocalyptic mayhem,91900
sanctum,91600
beep,104200
worms reloaded,22600
detour,92100
naval warfare,98500
jamestown,94200
aztaka,37100
solar 2,97000
painkiller overdose,3270
7 wonders ii,15900
luxor 2,15920
luxor 3,15930
the office,15940
reaxxion,15950
little farm,15960
luxor,15970
money tree,15980
samantha swift and the hidden roses of athena,16020
samantha swift and the golden touch,16060
luxor mahjong,32110
dungeons of dredmor,98800
rock of ages,22230
lucid,61100
space pirates and zombies,107200
blocks that matter,111800
nuclear dawn,17710
hoard,63000
shank 2,102840
costume quest,115100
gemini rue,80310
take on helicopters,65730
sonic generations,71340
anno 2070,48240
dangerous waters,1600
limbo,48000
stacking,115110
legend of grimrock,207170
a virus named tom,207650
ticket to ride,108200
lunar flight,208600
roller coaster rampage,209610
burn zombie burn,50510
botanicula,207690
pole position 2012,210150
port royale 3,205610
mortal kombat kollection,205350
gratuitous tank battles,205530
hard reset,98400
waveform,204180
crysis 2 maximum edition,108800
arena wars 2,207730
max payne 3,204100
splice,209790
lego batman 2,213330
tower wars,214360
tower wars editor,234740
death rally,108700
snapshot,204220
the basement collection,214790
closure,72000
lucius,218640
strike suit zero,209540
mark of the ninja,214560
to the moon,206440
thomas was alone,220780
castle crashers,204360
little inferno,221260
dream pinball 3d,215790
mcpixel,220860
world of zoo,43100
dogfight 1942,217790
natural selection 2,4920
pid,218740
faerie solitaire,38600
iron sky invasion,224900
postal 2,223470
airbuccaneers,223630
stealth bastard deluxe,209190
super hexagon,221640
sniper ghost warrior 2,34870
afterfall insanity extended edition,224420
monopoly,221300
triple town,209950
crazy taxi,71230
sega bass fishing,71240
sonic adventure dx,71250
dead pixels,222980
trine 2,35720
hero academy,209270
the game of life,224700
euro truck simulator 2,227300
the showdown effect,204080
antichamber,219890
3dmark,223850
thinking with time machine,286080
displayfusion,227260
bridge project,232950
incredipede,230150
cities in motion 2,225420
rush bros,234490
anodyne,234900
surgeon simulator,233720
poker night 2,234710
jack lumber,220900
sanctum 2,210770
monaco,113020
fallout 3,22300
super sanctum td,235250
fez,224760
shadowrun returns,234650
anomaly 2,236730
zeno clash 2,215690
the whispered world,18490
the whispered world special edition,268540
the swapper,231160
the forest,242760
banished,242920
betrayer,243120
skulls of the shogun,228960
the apogee throwback pack,238050
super splatters,95000
starmade,244770
space engineers,244850
sacred 2 gold,225640
kingdom rush,246420
risen,40300
sacred citadel,207930
viscera cleanup detail,246900
inquisitor,241620
epigenesis,244590
iesabel,248710
game dev tycoon,239820
jazzpunk,250260
bridge constructor,250460
eets munchies,214550
anomaly korea,251530
oniken,252010
anomaly warzone earth mobile campaign,252170
syder arcade,252310
the shivah,252370
rust,252490
claire,252830
skyscraper simulator,252910
steam marines,253630
sparkle 2 evo,253650
earth 2150 trilogy,253880
bookworm deluxe,3370
peggle deluxe,3480
escape rosecliff island,3600
bejeweled 3,78000
peggle nights,3540
state of decay,241540
arma tactics,224860
confrontation,204560
game of thrones,208730
cities xl platinum,231140
the testament of sherlock holmes,205650
dark sector,29900
skydrift,91100
sine mora,207040
tropico 5,245620
portal 2 sixense perceptual pack,247120
thief,239160
shadow warrior,233130
supreme commander,9350
the guild ii,39650
arcania,39690
darksiders ii,50650
violett,257830
dungeonbowl knockout edition,209390
bad hotel,231720
audiosurf 2,235800
clickr,45500
professional farmer 2014,258880
nimble quest,259780
symphony,207750
call of juarez,3020
grimm,252150
crimsonland,262830
pixel boy and the ever expanding dungeon,263080
spintires,263280
spintires editor,367690
enola,263520
muffin knight,263700
pixel piracy,264140
99 levels to hell,264280
neighbours from hell,260750
neighbours from hell 2,260770
deadly 30,264730
goat simulator,265930
lyne,266010
farm for your life,266390
gravity badgers,267060
airport simulator 2014,267600
woodcutter simulator 2013,267610
hyper fighters,267960
from the depths,268650
evga precision xoc,268850
love,269270
1heart,270190
yet another zombie defense,270550
gauge,272990
towtruck simulator 2015,273760
warehouse and logistics simulator,273940
blades of time,208670
rise of the argonauts,12770
overlord ii,12810
dirt 3,44320
dirt showdown,201700
dirt 3 complete edition,321040
revolution ace,274560
post master,275080
canyon capers,275490
farming world,277500
ubersoldier ii,281410
fearless fantasy,282100
soma,282140
quake live,282440
paper dungeons,283040
the samaritan paradox,283180
incoming forces,283390
oknytt,286320
ty the tasmanian tiger 4,287840
the room,288160
rocketsrocketsrockets,289760
royal defense,291170
vitrum,291270
street racing syndicate,292410
american conquest,115210
merchants of kaidan,294020
millie,294230
xpand rally xtreme,3050
a game of dwarves,200370
mount your friends,296470
kraven manor,296630
abducted,299580
darwinia,1500
uplink,1510
defcon,1520
multiwinia,1530
toy story 3,300820
metro 2033 redux,286690
i am vegend,302460
homeworld remastered collection,244160
qora,304460
bloons td5,306020
the howler,306040
how to survive,250400
slipstream 5000,306350
crystals of time,306410
sniper elite v2,63380
shan gui,307050
zoo park,307760
lost chronicles of zerzura,308330
dreamfall chapters,237850
zombie solitaire,311850
simply chess,312280
parcel,316080
prophour23,317610
warmachine tactics,253510
axyos,318100
convoy,318230
